date,direction,pnl,outcome,reason,hour,dow,year,month,level,atr
2020-12-07,long,250.0,win,tp,13,0,2020,2020-12,1836.1985,2.9408395444235267
2020-12-09,long,-100.00000000000087,loss,sl,12,2,2020,2020-12,1855.7115,3.4391216299659093
2020-12-10,short,250.0,win,tp,14,3,2020,2020-12,1851.1765,4.3038870893640055
2020-12-14,short,112.55037737385136,win,sl,0,0,2020,2020-12,1838.6164999999999,2.317267292847715
2020-12-14,short,114.24931112597983,win,sl,11,0,2020,2020-12,1830.895,2.57018976036923
2020-12-15,short,-99.99999999999754,loss,sl,5,1,2020,2020-12,1837.3065000000001,2.916173609051683
2020-12-15,short,87.57436995143757,win,sl,12,1,2020,2020-12,1847.6365,2.4989345439948063
2020-12-16,long,-100.00000000000249,loss,sl,14,2,2020,2020-12,1854.0215,3.580824906264663
2020-12-16,long,-100.0000000000028,loss,sl,16,2,2020,2020-12,1854.0215,3.429718169738994
2020-12-17,long,-99.99999999999883,loss,sl,20,3,2020,2020-12,1883.592,2.623726118382623
2020-12-17,long,-99.9999999999995,loss,sl,21,3,2020,2020-12,1883.592,2.509174252783863
2020-12-21,long,-100.00000000000178,loss,sl,15,0,2020,2020-12,1877.4550000000002,5.980567484623074
2020-12-21,long,-99.99999999999862,loss,sl,15,0,2020,2020-12,1877.4550000000002,5.8570983785785655
2020-12-22,long,-100.00000000000449,loss,sl,12,1,2020,2020-12,1874.4985,2.4873881908962425
2020-12-22,long,108.57687032165002,win,sl,13,1,2020,2020-12,1874.7250000000001,2.764225677326833
2020-12-23,short,-100.0000000000056,loss,sl,7,2,2020,2020-12,1868.1550000000002,1.9179501988825285
2020-12-23,long,136.19044829765977,win,sl,8,2,2020,2020-12,1868.5314999999998,2.0557300551736084
2020-12-23,short,112.64735782618749,win,sl,10,2,2020,2020-12,1868.1550000000002,2.1543117724608907
2020-12-23,long,102.46803002071512,win,sl,12,2,2020,2020-12,1860.8250000000003,2.482662250250581
2020-12-24,long,-99.99999999999562,loss,sl,12,3,2020,2020-12,1873.9865000000002,2.244757592829599
2020-12-28,long,-100.00000000000257,loss,sl,6,0,2020,2020-12,1876.5665,2.9876978633139197
2020-12-28,long,-99.99999999999723,loss,sl,9,0,2020,2020-12,1882.6499999999999,2.6233774944881403
2020-12-29,long,122.72638918105466,win,sl,3,1,2020,2020-12,1875.7435,2.3886721874442993
2020-12-29,long,-99.99999999999648,loss,sl,14,1,2020,2020-12,1877.0435,2.92012140776443
2020-12-30,long,-99.99999999999514,loss,sl,6,2,2020,2020-12,1881.4615,1.5071559599339985
2020-12-30,long,-99.99999999999733,loss,sl,12,2,2020,2020-12,1877.5935,1.7159085986493667
2020-12-31,long,250.0,win,tp,6,3,2020,2020-12,1885.54,2.083919810878111
2020-12-31,long,108.9257925761042,win,sl,18,3,2020,2020-12,1892.1485,2.401867358316752
2021-01-07,long,-99.99999999999693,loss,sl,12,3,2021,2021-01,1914.9085,3.606714109039669
2021-01-07,short,192.64517976268576,win,sl,14,3,2021,2021-01,1921.2685000000001,3.740889885996184
2021-01-07,long,-99.99999999999804,loss,sl,20,3,2021,2021-01,1914.9085,3.0264637788494064
2021-01-07,short,154.6224417363844,win,sl,23,3,2021,2021-01,1918.277,2.4064542394056705
2021-01-12,short,-99.99999999999957,loss,sl,19,1,2021,2021-01,1858.3065000000001,3.965443022832477
2021-01-12,short,-99.99999999999764,loss,sl,20,1,2021,2021-01,1855.574,3.5025492418554593
2021-01-13,short,250.0,win,tp,8,2,2021,2021-01,1858.3065000000001,2.3278040898545296
2021-01-13,short,109.14873603956619,win,sl,16,2,2021,2021-01,1858.2035,3.0550040992577063
2021-01-14,short,129.60784251862918,win,sl,5,3,2021,2021-01,1846.77,3.0600000111608674
2021-01-19,short,157.45329534240537,win,sl,5,1,2021,2021-01,1840.4515,1.7153423517832074
2021-01-19,short,-99.99999999999709,loss,sl,7,1,2021,2021-01,1839.3735,2.0623625263372705
2021-01-19,long,-99.99999999999699,loss,sl,14,1,2021,2021-01,1838.0135,2.552967796517882
2021-01-19,long,83.88889547066807,win,sl,15,1,2021,2021-01,1838.0135,3.3199101375261577
2021-01-20,long,84.69889553785175,win,sl,12,2,2021,2021-01,1847.785,1.9847810113510023
2021-01-21,long,-100.0000000000021,loss,sl,12,3,2021,2021-01,1869.875,2.142423025586777
2021-01-21,long,-99.99999999999514,loss,sl,23,3,2021,2021-01,1869.875,1.8582429832248175
2021-01-25,short,124.25506203282568,win,sl,1,0,2021,2021-01,1859.479,2.3728340251829425
2021-01-25,short,86.8600655535695,win,sl,17,0,2021,2021-01,1858.4700000000003,3.561010299251732
2021-01-26,short,83.00420028287238,win,sl,5,1,2021,2021-01,1856.68,1.6515696174018157
2021-01-26,long,-99.99999999999586,loss,sl,6,1,2021,2021-01,1854.4550000000002,1.7648722227346119
2021-01-26,long,-100.00000000000355,loss,sl,7,1,2021,2021-01,1854.4550000000002,1.7533456353964372
2021-01-27,short,-99.99999999999389,loss,sl,6,2,2021,2021-01,1851.2185,1.623087306948136
2021-01-28,short,-99.99999999999939,loss,sl,18,3,2021,2021-01,1843.4115,4.353254116471616
2021-01-28,short,-99.99999999999848,loss,sl,21,3,2021,2021-01,1843.4115,3.2498334882475812
2021-01-31,short,86.51212727093998,win,sl,23,6,2021,2021-01,1860.2915,4.9078298926256
2021-02-01,long,-99.99999999999781,loss,sl,0,0,2021,2021-02,1850.2165000000002,4.580541462863821
2021-02-01,long,106.88331787866633,win,sl,10,0,2021,2021-02,1857.1729999999998,4.15636036016206
2021-02-04,short,-99.99999999999767,loss,sl,20,3,2021,2021-02,1795.6485,3.0899803927605527
2021-02-04,short,-99.99999999999771,loss,sl,20,3,2021,2021-02,1795.6485,2.871442277431308
2021-02-08,short,250.0,win,tp,8,0,2021,2021-02,1815.98,1.8310602005367986
2021-02-08,short,-99.9999999999956,loss,sl,8,0,2021,2021-02,1811.3665,2.0751922137281786
2021-02-09,long,159.69106711463908,win,sl,8,1,2021,2021-02,1838.2765,2.04140328303202
2021-02-09,long,108.16335540467574,win,sl,13,1,2021,2021-02,1838.2765,2.383855299681449
2021-02-10,short,-100.000000000003,loss,sl,3,2,2021,2021-02,1845.8735000000001,1.890053493158291
2021-02-10,short,185.8442658785153,win,sl,8,2,2021,2021-02,1845.8735000000001,1.9413820328556222
2021-02-10,long,-99.99999999999483,loss,sl,12,2,2021,2021-02,1839.1315,1.9970675961870834
